City_ID,Date,City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,1596605710,yellowknife,CA,62.46,-114.35,59.0,93,75,8.05
1,1596605936,avarua,CK,-21.21,-159.78,75.2,94,98,11.41
2,1596605937,aklavik,CA,68.22,-135.01,53.6,81,90,6.93
3,1596605937,te anau,NZ,-45.42,167.72,47.01,87,42,0.58
4,1596605937,vaini,TO,-21.2,-175.2,73.4,73,20,4.7
5,1596605938,busselton,AU,-33.65,115.33,61.0,80,7,5.99
6,1596605938,rikitea,PF,-23.12,-134.97,73.15,89,94,11.68
7,1596605938,upernavik,GL,72.79,-56.15,37.58,76,25,6.33
8,1596605875,ushuaia,AR,-54.8,-68.3,50.0,37,20,13.87
9,1596605939,marquette,US,46.53,-87.63,48.99,91,45,3.47
10,1596605939,hermanus,ZA,-34.42,19.23,47.07,71,1,7.9
11,1596605939,san quintin,MX,30.48,-115.95,66.54,87,2,10.54
12,1596605940,bluff,NZ,-46.6,168.33,51.01,85,48,1.99
13,1596605702,cherskiy,RU,68.75,161.3,42.76,70,100,10.71
14,1596605940,gigmoto,PH,13.78,124.39,86.47,69,100,8.59
15,1596605940,hamilton,US,39.18,-84.53,64.0,87,1,4.97
16,1596605940,katherine,AU,-14.47,132.27,87.8,33,17,5.82
17,1596605941,chuy,UY,-33.7,-53.46,55.6,86,52,6.82
18,1596605941,touros,BR,-5.2,-35.46,69.8,94,40,3.36
19,1596605941,olafsvik,IS,64.89,-23.71,49.15,90,100,17.58
20,1596605925,kapaa,US,22.08,-159.32,80.6,69,20,14.99
21,1596605566,pochutla,MX,15.74,-96.47,80.01,89,98,4.18
22,1596605942,ribeira grande,PT,38.52,-28.7,72.52,92,27,4.99
23,1596605942,albany,US,42.6,-73.97,69.01,88,20,3.87
24,1596605942,tiksi,RU,71.69,128.87,64.4,44,0,3.89
25,1596605943,punta arenas,CL,-53.15,-70.92,35.6,80,85,6.93
26,1596605409,lompoc,US,34.64,-120.46,57.2,93,90,9.17
27,1596605943,mataura,NZ,-46.19,168.86,51.01,85,21,1.99
28,1596605943,klaksvik,FO,62.23,-6.59,51.8,100,100,11.41
29,1596605943,matagami,CA,49.75,-77.63,59.0,100,75,3.36
30,1596605645,lavrentiya,RU,65.58,-171.0,45.91,83,67,3.51
31,1596605944,dikson,RU,73.51,80.55,46.92,91,47,21.7
32,1596605944,rio grande,BR,-32.03,-52.1,55.99,96,16,10.45
33,1596605944,clyde river,CA,70.47,-68.59,39.2,100,90,11.41
34,1596605945,bredasdorp,ZA,-34.53,20.04,35.6,93,45,4.7
35,1596605945,lagoa,PT,39.05,-27.98,72.48,93,45,9.33
36,1596605945,iqaluit,CA,63.75,-68.51,57.2,82,40,5.82
37,1596605945,arraial do cabo,BR,-22.97,-42.03,67.78,68,0,9.46
38,1596605946,hilo,US,19.73,-155.09,80.6,69,90,8.05
39,1596605946,hithadhoo,MV,-0.6,73.08,82.15,76,100,13.67
40,1596605910,barrow,US,71.29,-156.79,44.6,81,90,8.05
41,1596605946,karagay,RU,58.27,54.94,66.33,69,71,9.31
42,1596605946,souillac,MU,-20.52,57.52,68.0,64,40,8.05
43,1596605866,chandler,US,33.31,-111.84,100.99,16,40,4.7
44,1596605947,grojec,PL,51.86,20.87,57.0,10,69,7.81
45,1596605947,isangel,VU,-19.55,169.27,70.12,66,54,7.23
46,1596605947,henties bay,NA,-22.12,14.28,57.0,87,35,8.84
47,1596605713,namatanai,PG,-3.67,152.43,83.05,77,73,9.95
48,1596605948,saint-philippe,RE,-21.36,55.77,72.0,46,49,3.36
49,1596605948,nikolskoye,RU,59.7,30.79,64.4,88,75,4.47
50,1596605948,sokolo,ML,14.73,-6.12,76.08,86,78,11.7
